Linea_id,Casa,Cantidad_asignada,Costo_asignado,Metodo,Confianza,Justificacion
27,Casa 3,0.25,326.3275,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
27,Casa 4,0.25,326.3275,Reconstrucción analítica,Media,Balance receta + etapa + fecha
28,Casa 1,0.25,33.185,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
28,Casa 2,0.25,33.185,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
28,Casa 3,0.25,33.185,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
28,Casa 4,0.25,33.185,Reconstrucción analítica,Media,Balance receta + etapa + fecha
31,Casa 3,1.0,398.23,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
32,Casa 3,1.0,398.23,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
33,Casa 2,1.0,398.23,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
34,Casa 1,0.33333333333333304,132.74333333333323,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
34,Casa 3,0.666666666666667,265.4866666666668,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
641,Casa 1,1.0,4823.01,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
1337,Casa 2,1.0,1198.23,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
1361,Casa 1,0.3333333333333335,399.4100000000002,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
1361,Casa 2,0.6666666666666665,798.8199999999998,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
1653,Casa 1,1.0,872.57,Reconstrucción analítica,Baja,Balance receta + etapa + fecha; Casa 4 excluida: puertas/ventanas pendiente
36,Casa 1,1.0,18701.0,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
37,Casa 1,1.0,18701.0,Reconstrucción analítica,Media,Balance receta + etapa + fecha
38,Casa 1,0.25,4675.0,Reconstrucción analítica,Media,Balance receta + etapa + fecha
38,Casa 2,0.75,14025.0,Reconstrucción analítica,Media,Balance receta + etapa + fecha
42,Casa 2,1.0,18700.5,Reconstrucción analítica,Media,Balance receta + etapa + fecha
43,Casa 2,0.5,9350.0,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
43,Casa 3,0.5,9350.0,Reconstrucción analítica,Media,Balance receta + etapa + fecha
51,Casa 4,1.0,37000.0,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1914,Casa 3,1.0,2976.99,Reconstrucción analítica,Media,Balance receta + etapa + fecha
2049,Casa 3,0.75,9805.087500000001,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
2049,Casa 4,1.25,16341.8125,Reconstrucción analítica,Media,Balance receta + etapa + fecha
39,Casa 2,10.0,5650.0,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
45,Casa 3,2.0,1130.0,Reconstrucción analítica,Media,Balance receta + etapa + fecha
49,Casa 3,6.5,3445.0,Reconstrucción analítica,Media,Balance receta + etapa + fecha
49,Casa 4,1.5,795.0,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
